fight_id,event_name,fighter_1,fighter_1_result,fighter_2,fighter_2_result,bout_type,method,end_round,end_time_round,max_round,referee,fight_link
7312,UFC 48: Payback,Matt Serra,W,Ivan Menjivar,L,Lightweight Bout,Decision - Unanimous,3,300,3,Mario Yamasaki,http://ufcstats.com/fight-details/41222c4fab03d6f8
7313,UFC 48: Payback,Georges St-Pierre,W,Jay Hieron,L,Welterweight Bout,KO/TKO,1,102,3,Steve Mazzagatti,http://ufcstats.com/fight-details/a40e421630b67e5c
7314,UFC 48: Payback,Trevor Prangley,W,Curtis Stout,L,Middleweight Bout,Submission,2,65,3,Herb Dean,http://ufcstats.com/fight-details/5cbd93c68225a845
7315,UFC 47: It's On!,Chuck Liddell,W,Tito Ortiz,L,Light Heavyweight Bout,KO/TKO,2,38,3,John McCarthy,http://ufcstats.com/fight-details/2dbd0bc3e61ca00b
7316,UFC 47: It's On!,Chris Lytle,W,Tiki Ghosn,L,Welterweight Bout,Submission,2,115,3,Mario Yamasaki,http://ufcstats.com/fight-details/eecbc6c850e62d97
7317,UFC 47: It's On!,Yves Edwards,W,Hermes Franca,L,Lightweight Bout,Decision - Split,3,300,3,Herb Dean,http://ufcstats.com/fight-details/268f0fcc45e1a6fe
7318,UFC 47: It's On!,Andrei Arlovski,W,Wesley Correira,L,Heavyweight Bout,KO/TKO,2,75,3,Mario Yamasaki,http://ufcstats.com/fight-details/0f23c5569204a69b
7319,UFC 47: It's On!,Nick Diaz,W,Robbie Lawler,L,Welterweight Bout,KO/TKO,2,91,3,Steve Mazzagatti,http://ufcstats.com/fight-details/0374646197b8e0fa
7320,UFC 47: It's On!,Mike Kyle,W,Wes Sims,L,Heavyweight Bout,KO/TKO,1,299,3,John McCarthy,http://ufcstats.com/fight-details/3b8bfe14b0c297b2
7321,UFC 47: It's On!,Jonathan Wiezorek,W,Wade Shipp,L,Heavyweight Bout,KO/TKO,1,280,3,Herb Dean,http://ufcstats.com/fight-details/ba5e8c30d41559fd
7322,UFC 47: It's On!,Genki Sudo,W,Mike Brown,L,Lightweight Bout,Submission,1,211,3,Steve Mazzagatti,http://ufcstats.com/fight-details/1d9d91f78334129d
7323,UFC 46: Supernatural,Vitor Belfort,W,Randy Couture,L,UFC Light Heavyweight Title Bout,TKO - Doctor's Stoppage,1,49,5,John McCarthy,http://ufcstats.com/fight-details/9cd343b9d5d87528
7324,UFC 46: Supernatural,Renato Verissimo,W,Carlos Newton,L,Welterweight Bout,Decision - Unanimous,3,300,3,Larry Landless,http://ufcstats.com/fight-details/829146a45b3b236b
7325,UFC 46: Supernatural,BJ Penn,W,Matt Hughes,L,UFC Welterweight Title Bout,Submission,1,279,5,Mario Yamasaki,http://ufcstats.com/fight-details/4076a87092da5bfa
7326,UFC 46: Supernatural,Frank Mir,W,Wes Sims,L,Heavyweight Bout,KO/TKO,2,261,3,John McCarthy,http://ufcstats.com/fight-details/476548ca3d8cf0ee
7327,UFC 46: Supernatural,Lee Murray,W,Jorge Rivera,L,Middleweight Bout,Submission,1,105,3,Mario Yamasaki,http://ufcstats.com/fight-details/bee02eaf332eb7f1
7328,UFC 46: Supernatural,Georges St-Pierre,W,Karo Parisyan,L,Welterweight Bout,Decision - Unanimous,3,300,3,Steve Mazzagatti,http://ufcstats.com/fight-details/1bc4996fa543a91a
7329,UFC 46: Supernatural,Josh Thomson,W,Hermes Franca,L,Lightweight Bout,Decision - Majority,3,300,3,Larry Landless,http://ufcstats.com/fight-details/fab7e4790b11de3c
7330,UFC 46: Supernatural,Matt Serra,W,Jeff Curran,L,Lightweight Bout,Decision - Unanimous,3,300,3,Steve Mazzagatti,http://ufcstats.com/fight-details/5bdaa71a5daebcb5
7331,UFC 45: Revolution,Matt Hughes,W,Frank Trigg,L,UFC Welterweight Title Bout,Submission,1,234,5,John McCarthy,http://ufcstats.com/fight-details/2cfde31b41b2220d
7332,UFC 45: Revolution,Matt Lindland,W,Falaniko Vitale,L,Middleweight Bout,KO/TKO,3,263,3,Larry Landless,http://ufcstats.com/fight-details/9f108233c7c787d9
7333,UFC 45: Revolution,Wesley Correira,W,David Abbott,L,Heavyweight Bout,TKO - Doctor's Stoppage,1,134,3,John McCarthy,http://ufcstats.com/fight-details/d1d33be012417f75
7334,UFC 45: Revolution,Evan Tanner,W,Phil Baroni,L,Middleweight Bout,KO/TKO,1,282,3,Larry Landless,http://ufcstats.com/fight-details/b35adb9d047f5cd8
7335,UFC 45: Revolution,Robbie Lawler,W,Chris Lytle,L,Welterweight Bout,Decision - Unanimous,3,300,3,John McCarthy,http://ufcstats.com/fight-details/7d2d327fd7580364
7336,UFC 45: Revolution,Pedro Rizzo,W,Ricco Rodriguez,L,Heavyweight Bout,Decision - Unanimous,3,300,3,Larry Landless,http://ufcstats.com/fight-details/906d6f62fb7f9b19
7337,UFC 45: Revolution,Keith Rockel,W,Chris Liguori,L,Middleweight Bout,Submission,1,209,3,John McCarthy,http://ufcstats.com/fight-details/61a211b4a7f942cd
7338,UFC 45: Revolution,Yves Edwards,W,Nick Agallar,L,Lightweight Bout,KO/TKO,2,134,3,Larry Landless,http://ufcstats.com/fight-details/823d7037552a8907
7339,UFC 44: Undisputed,Randy Couture,W,Tito Ortiz,L,UFC Light Heavyweight Title Bout,Decision - Unanimous,5,300,5,John McCarthy,http://ufcstats.com/fight-details/6cd107e2f5886b25
7340,UFC 44: Undisputed,Andrei Arlovski,W,Vladimir Matyushenko,L,Heavyweight Bout,KO/TKO,1,119,3,Larry Landless,http://ufcstats.com/fight-details/fdb4ea9783c4452a
7341,UFC 44: Undisputed,Tim Sylvia,W,Gan McGee,L,UFC Heavyweight Title Bout,KO/TKO,1,114,5,John McCarthy,http://ufcstats.com/fight-details/6e7eb1720bec2bca
7342,UFC 44: Undisputed,Jorge Rivera,W,David Loiseau,L,Middleweight Bout,Decision - Unanimous,3,300,3,Larry Landless,http://ufcstats.com/fight-details/ac6fd4c78f0e3198
7343,UFC 44: Undisputed,Rich Franklin,W,Edwin DeWees,L,Light Heavyweight Bout,KO/TKO,1,215,3,Sean Brockmole,http://ufcstats.com/fight-details/180128adae7897db
7344,UFC 44: Undisputed,Karo Parisyan,W,Dave Strasser,L,Welterweight Bout,Submission,1,232,3,Steve Mazzagatti,http://ufcstats.com/fight-details/e5b2782426c8109c
7345,UFC 44: Undisputed,Josh Thomson,W,Gerald Strebendt,L,Lightweight Bout,KO/TKO,1,165,3,John McCarthy,http://ufcstats.com/fight-details/3cdcaa0a59dfb8ea
7346,UFC 44: Undisputed,Nick Diaz,W,Jeremy Jackson,L,Welterweight Bout,Submission,3,124,3,Steve Mazzagatti,http://ufcstats.com/fight-details/5ac9cf4ffc15ccca
7347,UFC 44: Undisputed,Hermes Franca,W,Caol Uno,L,Lightweight Bout,KO/TKO,2,166,3,Sean Brockmole,http://ufcstats.com/fight-details/10976fbb37d41c43
7348,UFC 43: Meltdown,Randy Couture,W,Chuck Liddell,L,UFC Interim Light Heavyweight Title Bout,KO/TKO,3,159,5,John McCarthy,http://ufcstats.com/fight-details/c83cba9573cca196
7349,UFC 43: Meltdown,Kimo Leopoldo,W,David Abbott,L,Heavyweight Bout,Submission,1,119,3,Larry Landless,http://ufcstats.com/fight-details/ffe629a5232a878b
7350,UFC 43: Meltdown,Vitor Belfort,W,Marvin Eastman,L,Light Heavyweight Bout,KO/TKO,1,67,3,John McCarthy,http://ufcstats.com/fight-details/400aa8a24e1d8997
7351,UFC 43: Meltdown,Vernon White,D,Ian Freeman,D,Heavyweight Bout,Decision - Split,3,300,3,Larry Landless,http://ufcstats.com/fight-details/ed503d1c8963d894
7352,UFC 43: Meltdown,Frank Mir,W,Wes Sims,L,Heavyweight Bout,DQ,1,175,3,Nelson Hamilton,http://ufcstats.com/fight-details/b5854feb57f40bb4
7353,UFC 43: Meltdown,Yves Edwards,W,Eddie Ruiz,L,Lightweight Bout,Decision - Unanimous,3,300,3,Nelson Hamilton,http://ufcstats.com/fight-details/be0507682d0ce713
7354,UFC 43: Meltdown,Falaniko Vitale,W,Matt Lindland,L,Middleweight Bout,KO/TKO,1,116,3,John McCarthy,http://ufcstats.com/fight-details/4f5ce22f8384d151
7355,UFC 43: Meltdown,Pedro Rizzo,W,Tra Telligman,L,Heavyweight Bout,TKO - Doctor's Stoppage,2,264,3,Larry Landless,http://ufcstats.com/fight-details/9fb822537c12d726
7356,UFC 42: Sudden Impact,Matt Hughes,W,Sean Sherk,L,UFC Welterweight Title Bout,Decision - Unanimous,5,300,5,John McCarthy,http://ufcstats.com/fight-details/00a5e033391bf8df
7357,UFC 42: Sudden Impact,Pete Spratt,W,Robbie Lawler,L,Welterweight Bout,Submission,2,148,3,John McCarthy,http://ufcstats.com/fight-details/808245ba66df5f1c
7358,UFC 42: Sudden Impact,Dave Strasser,W,Romie Aram,L,Welterweight Bout,Decision - Unanimous,3,300,3,Jorge Alonso,http://ufcstats.com/fight-details/9f5f9173666ce1b7
7359,UFC 42: Sudden Impact,Wesley Correira,W,Sean Alvarez,L,Heavyweight Bout,KO/TKO,2,106,3,John McCarthy,http://ufcstats.com/fight-details/4e75ed154de637e2
