round_id,event_name,round,fighter_name,kd,ts_landed,ts_attempted,td_landed,td_attempted,sub_attempted,rev,control,ss_landed,ss_attempted,head_ss_attempted,head_ss_landed,body_ss_attempted,body_ss_landed,leg_ss_attempted,leg_ss_landed,distance_ss_attempted,distance_ss_landed,clinch_ss_attempted,clinch_ss_landed,ground_ss_attempted,ground_ss_landed
2931,UFC Fight Night: Dern vs. Hill,1,Maheshate,0,23,71,0,1,0,0,0,22,70,17,63,1,3,4,4,21,67,1,3,0,0
2932,UFC Fight Night: Dern vs. Hill,1,Viacheslav Borshchev,1,57,100,0,0,0,0,5,57,100,23,64,11,12,23,24,49,81,7,12,1,7
2933,UFC Fight Night: Dern vs. Hill,2,Maheshate,0,10,39,0,1,0,0,0,10,39,9,37,0,0,1,2,8,32,2,7,0,0
2934,UFC Fight Night: Dern vs. Hill,2,Viacheslav Borshchev,2,28,48,0,0,0,0,4,28,48,17,35,6,7,5,6,20,37,4,6,4,5
2935,UFC Fight Night: Dern vs. Hill,1,Karolina Kowalkiewicz,0,42,84,0,0,0,0,23,42,84,33,73,7,8,2,3,37,77,5,7,0,0
2936,UFC Fight Night: Dern vs. Hill,1,Vanessa Demopoulos,0,36,79,0,1,0,0,0,28,71,20,62,4,5,4,4,25,66,3,5,0,0
2937,UFC Fight Night: Dern vs. Hill,2,Karolina Kowalkiewicz,0,56,84,0,0,0,0,0,55,82,30,55,16,17,9,10,55,82,0,0,0,0
2938,UFC Fight Night: Dern vs. Hill,2,Vanessa Demopoulos,0,22,86,0,2,0,0,0,22,86,13,71,7,13,2,2,22,86,0,0,0,0
2939,UFC Fight Night: Dern vs. Hill,3,Karolina Kowalkiewicz,0,50,81,0,0,0,0,89,42,71,31,59,7,8,4,4,42,71,0,0,0,0
2940,UFC Fight Night: Dern vs. Hill,3,Vanessa Demopoulos,0,25,72,0,1,0,0,0,18,64,16,57,2,5,0,2,18,64,0,0,0,0
2941,UFC Fight Night: Dern vs. Hill,1,Orion Cosce,0,22,34,0,0,0,0,5,10,18,7,15,1,1,2,2,8,15,1,2,1,1
2942,UFC Fight Night: Dern vs. Hill,1,Gilbert Urbina,0,83,104,2,2,1,0,186,34,47,23,34,9,10,2,3,11,21,3,3,20,23
2943,UFC Fight Night: Dern vs. Hill,2,Orion Cosce,0,6,14,0,0,0,0,0,6,14,2,8,2,4,2,2,6,14,0,0,0,0
2944,UFC Fight Night: Dern vs. Hill,2,Gilbert Urbina,1,17,35,0,0,0,0,0,17,35,8,22,3,6,6,7,16,34,1,1,0,0
2945,UFC Fight Night: Dern vs. Hill,1,Ilir Latifi,0,28,44,0,1,0,0,0,28,44,8,20,13,16,7,8,27,42,1,2,0,0
2946,UFC Fight Night: Dern vs. Hill,1,Rodrigo Nascimento,0,34,73,0,0,0,0,0,34,73,26,60,7,12,1,1,29,68,5,5,0,0
2947,UFC Fight Night: Dern vs. Hill,2,Ilir Latifi,0,38,45,1,1,0,0,132,11,17,5,10,3,3,3,4,9,14,0,1,2,2
2948,UFC Fight Night: Dern vs. Hill,2,Rodrigo Nascimento,0,17,38,0,0,0,0,0,15,36,10,28,1,2,4,6,14,35,1,1,0,0
2949,UFC Fight Night: Dern vs. Hill,3,Ilir Latifi,0,10,16,1,5,0,0,98,10,16,7,12,2,3,1,1,10,16,0,0,0,0
2950,UFC Fight Night: Dern vs. Hill,3,Rodrigo Nascimento,0,25,49,0,0,0,0,0,19,43,15,34,2,7,2,2,18,42,1,1,0,0
2951,UFC Fight Night: Dern vs. Hill,1,Chase Hooper,0,68,112,0,3,0,0,55,60,101,44,84,11,12,5,5,35,61,22,36,3,4
2952,UFC Fight Night: Dern vs. Hill,1,Nick Fiore,0,20,35,1,3,0,0,92,17,32,17,32,0,0,0,0,12,25,4,6,1,1
2953,UFC Fight Night: Dern vs. Hill,2,Chase Hooper,0,74,112,0,5,1,0,54,56,90,43,76,12,13,1,1,36,57,17,29,3,4
2954,UFC Fight Night: Dern vs. Hill,2,Nick Fiore,0,16,32,2,2,0,0,96,15,31,14,30,1,1,0,0,12,25,2,4,1,2
2955,UFC Fight Night: Dern vs. Hill,3,Chase Hooper,0,75,116,1,2,0,1,125,33,54,23,43,8,9,2,2,26,42,3,8,4,4
2956,UFC Fight Night: Dern vs. Hill,3,Nick Fiore,0,22,31,1,3,0,0,99,19,27,18,26,0,0,1,1,10,16,5,7,4,4
2957,UFC Fight Night: Dern vs. Hill,1,Natalia Silva,1,21,46,0,0,0,0,16,20,45,16,41,2,2,2,2,20,44,0,0,0,1
2958,UFC Fight Night: Dern vs. Hill,1,Victoria Leonardo,0,7,18,0,1,0,0,0,7,18,6,14,0,3,1,1,7,18,0,0,0,0
2959,UFC Fight Night: Dern vs. Hill,1,Takashi Sato,0,15,21,1,2,0,0,32,3,8,2,7,1,1,0,0,0,4,3,4,0,0
2960,UFC Fight Night: Dern vs. Hill,1,Themba Gorimbo,0,39,57,1,3,0,1,238,7,16,1,9,6,7,0,0,1,9,6,7,0,0
2961,UFC Fight Night: Dern vs. Hill,2,Takashi Sato,0,21,25,1,4,0,0,74,14,17,9,12,5,5,0,0,1,4,11,11,2,2
2962,UFC Fight Night: Dern vs. Hill,2,Themba Gorimbo,1,40,57,1,2,0,1,200,18,30,15,25,3,5,0,0,5,8,2,4,11,18
2963,UFC Fight Night: Dern vs. Hill,3,Takashi Sato,0,20,30,0,0,0,1,35,13,22,10,18,3,4,0,0,4,8,1,1,8,13
2964,UFC Fight Night: Dern vs. Hill,3,Themba Gorimbo,0,31,44,1,3,0,0,237,8,10,5,7,3,3,0,0,6,8,1,1,1,1
2965,UFC Fight Night: Rozenstruik vs. Almeida,1,Jairzinho Rozenstruik,0,3,6,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0
2966,UFC Fight Night: Rozenstruik vs. Almeida,1,Jailton Almeida,0,14,19,1,2,1,0,189,4,7,3,5,1,2,0,0,0,2,0,0,4,5
2967,UFC Fight Night: Rozenstruik vs. Almeida,1,Anthony Smith,0,12,24,1,2,0,0,82,10,22,8,19,2,3,0,0,10,22,0,0,0,0
2968,UFC Fight Night: Rozenstruik vs. Almeida,1,Johnny Walker,0,28,59,1,1,0,0,6,28,58,16,40,3,7,9,11,19,48,6,7,3,3
2969,UFC Fight Night: Rozenstruik vs. Almeida,2,Anthony Smith,0,18,34,0,0,0,0,0,18,34,8,24,2,2,8,8,18,34,0,0,0,0
2970,UFC Fight Night: Rozenstruik vs. Almeida,2,Johnny Walker,0,31,59,0,0,0,0,0,31,59,7,32,4,7,20,20,31,59,0,0,0,0
2971,UFC Fight Night: Rozenstruik vs. Almeida,3,Anthony Smith,0,11,37,0,1,0,0,0,10,36,3,21,6,12,1,3,10,35,0,1,0,0
2972,UFC Fight Night: Rozenstruik vs. Almeida,3,Johnny Walker,0,40,86,0,0,0,0,26,33,75,9,45,2,5,22,25,31,71,0,1,2,3
2973,UFC Fight Night: Rozenstruik vs. Almeida,1,Daniel Rodriguez,0,7,25,0,0,0,0,0,7,25,2,17,2,5,3,3,7,25,0,0,0,0
2974,UFC Fight Night: Rozenstruik vs. Almeida,1,Ian Machado Garry,1,23,46,0,0,0,0,10,23,46,19,42,4,4,0,0,12,28,0,0,11,18
2975,UFC Fight Night: Rozenstruik vs. Almeida,1,Carlos Ulberg,1,13,21,0,0,0,0,8,13,21,11,18,1,1,1,2,5,11,0,0,8,10
2976,UFC Fight Night: Rozenstruik vs. Almeida,1,Ihor Potieria,0,5,9,0,1,0,0,0,5,9,1,4,0,0,4,5,5,9,0,0,0,0
2977,UFC Fight Night: Rozenstruik vs. Almeida,1,Tim Means,0,34,66,0,0,0,0,27,32,64,10,32,16,26,6,6,23,52,9,12,0,0
2978,UFC Fight Night: Rozenstruik vs. Almeida,1,Alex Morono,0,27,68,0,0,0,0,0,18,58,16,55,2,3,0,0,16,52,2,6,0,0
2979,UFC Fight Night: Rozenstruik vs. Almeida,2,Tim Means,0,11,26,2,2,0,0,19,8,23,6,20,2,3,0,0,7,22,1,1,0,0
2980,UFC Fight Night: Rozenstruik vs. Almeida,2,Alex Morono,0,15,34,0,0,1,0,0,15,34,13,31,2,3,0,0,15,34,0,0,0,0
2981,UFC Fight Night: Rozenstruik vs. Almeida,1,Matt Brown,1,22,26,0,0,0,0,2,11,15,2,4,3,4,6,7,10,14,1,1,0,0
2982,UFC Fight Night: Rozenstruik vs. Almeida,1,Court McGee,0,17,48,1,1,0,0,117,8,31,2,21,2,5,4,5,6,29,2,2,0,0
2983,UFC Fight Night: Rozenstruik vs. Almeida,1,Karl Williams,0,34,69,1,3,0,0,101,19,43,14,38,2,2,3,3,14,38,2,2,3,3
2984,UFC Fight Night: Rozenstruik vs. Almeida,1,Chase Sherman,0,17,45,0,0,0,0,0,11,39,6,32,0,2,5,5,10,36,1,3,0,0
2985,UFC Fight Night: Rozenstruik vs. Almeida,2,Karl Williams,0,23,63,0,2,0,0,23,23,63,17,56,2,2,4,5,23,62,0,1,0,0
2986,UFC Fight Night: Rozenstruik vs. Almeida,2,Chase Sherman,0,15,58,0,0,0,0,0,13,56,5,47,1,2,7,7,13,56,0,0,0,0
2987,UFC Fight Night: Rozenstruik vs. Almeida,3,Karl Williams,0,28,59,0,5,0,0,31,28,59,22,53,2,2,4,4,28,59,0,0,0,0
2988,UFC Fight Night: Rozenstruik vs. Almeida,3,Chase Sherman,0,32,67,0,0,0,0,12,30,63,15,45,9,11,6,7,23,56,7,7,0,0
2989,UFC Fight Night: Rozenstruik vs. Almeida,1,Cody Stamann,0,14,39,1,2,0,0,6,14,39,8,31,5,7,1,1,14,39,0,0,0,0
2990,UFC Fight Night: Rozenstruik vs. Almeida,1,Douglas Silva de Andrade,0,23,72,0,1,0,0,0,23,72,7,42,7,15,9,15,22,69,1,3,0,0
2991,UFC Fight Night: Rozenstruik vs. Almeida,2,Cody Stamann,0,14,44,0,3,0,0,21,14,44,10,37,1,3,3,4,14,44,0,0,0,0
2992,UFC Fight Night: Rozenstruik vs. Almeida,2,Douglas Silva de Andrade,0,21,52,0,0,0,0,0,21,52,4,30,9,14,8,8,21,52,0,0,0,0
2993,UFC Fight Night: Rozenstruik vs. Almeida,3,Cody Stamann,1,38,69,0,0,0,0,92,26,56,22,48,3,7,1,1,21,50,0,0,5,6
2994,UFC Fight Night: Rozenstruik vs. Almeida,3,Douglas Silva de Andrade,0,28,65,0,0,0,0,0,17,54,6,36,7,14,4,4,17,54,0,0,0,0
2995,UFC Fight Night: Rozenstruik vs. Almeida,1,Ji Yeon Kim,0,1,6,0,0,0,1,163,1,5,1,5,0,0,0,0,1,4,0,0,0,1
2996,UFC Fight Night: Rozenstruik vs. Almeida,1,Mandy Bohm,0,7,11,1,2,1,1,119,3,3,2,2,0,0,1,1,1,1,0,0,2,2
2997,UFC Fight Night: Rozenstruik vs. Almeida,2,Ji Yeon Kim,0,16,35,0,0,1,0,114,9,26,4,21,3,3,2,2,6,23,3,3,0,0
2998,UFC Fight Night: Rozenstruik vs. Almeida,2,Mandy Bohm,0,14,33,1,3,0,0,102,12,23,7,14,1,5,4,4,9,18,3,5,0,0
2999,UFC Fight Night: Rozenstruik vs. Almeida,3,Ji Yeon Kim,0,15,21,0,1,0,0,67,0,5,0,5,0,0,0,0,0,5,0,0,0,0
3000,UFC Fight Night: Rozenstruik vs. Almeida,3,Mandy Bohm,0,4,7,0,1,0,0,24,2,5,0,3,2,2,0,0,0,2,2,3,0,0
3001,UFC Fight Night: Rozenstruik vs. Almeida,1,Bryan Battle,1,3,9,0,0,0,0,3,3,9,3,9,0,0,0,0,2,7,0,0,1,2
3002,UFC Fight Night: Rozenstruik vs. Almeida,1,Gabe Green,0,6,12,0,0,0,0,0,6,12,2,8,2,2,2,2,6,12,0,0,0,0
3003,UFC Fight Night: Rozenstruik vs. Almeida,1,Jessica-Rose Clark,0,9,23,0,2,0,0,102,8,20,5,16,0,0,3,4,7,18,1,2,0,0
3004,UFC Fight Night: Rozenstruik vs. Almeida,1,Tainara Lisboa,0,27,38,1,1,0,0,104,11,20,6,15,5,5,0,0,5,13,5,5,1,2
3005,UFC Fight Night: Rozenstruik vs. Almeida,2,Jessica-Rose Clark,0,13,32,1,3,0,0,155,13,31,11,27,1,2,1,2,12,28,1,3,0,0
3006,UFC Fight Night: Rozenstruik vs. Almeida,2,Tainara Lisboa,0,43,70,0,0,0,0,0,25,51,19,41,5,8,1,2,20,41,5,10,0,0
3007,UFC Fight Night: Rozenstruik vs. Almeida,3,Jessica-Rose Clark,0,6,11,0,2,0,0,199,5,9,4,8,0,0,1,1,4,7,0,0,1,2
3008,UFC Fight Night: Rozenstruik vs. Almeida,3,Tainara Lisboa,0,27,37,0,1,1,0,25,6,12,5,11,1,1,0,0,4,10,1,1,1,1
3009,UFC 288: Sterling vs. Cejudo,1,Aljamain Sterling,0,29,43,2,3,0,0,97,20,34,5,15,10,12,5,7,12,25,3,4,5,5
3010,UFC 288: Sterling vs. Cejudo,1,Henry Cejudo,0,15,26,1,1,0,0,107,7,18,3,13,1,1,3,4,7,16,0,2,0,0
3011,UFC 288: Sterling vs. Cejudo,2,Aljamain Sterling,0,29,55,0,2,0,0,0,29,55,10,33,11,14,8,8,28,53,1,2,0,0
3012,UFC 288: Sterling vs. Cejudo,2,Henry Cejudo,0,31,53,0,2,0,0,2,31,53,10,26,7,11,14,16,29,51,2,2,0,0
3013,UFC 288: Sterling vs. Cejudo,3,Aljamain Sterling,0,45,48,1,6,0,0,90,26,29,12,15,11,11,3,3,17,20,7,7,2,2
3014,UFC 288: Sterling vs. Cejudo,3,Henry Cejudo,0,38,53,1,1,0,0,103,15,29,7,19,5,6,3,4,10,23,4,5,1,1
3015,UFC 288: Sterling vs. Cejudo,4,Aljamain Sterling,0,52,68,1,3,0,0,38,36,52,11,25,13,14,12,13,27,42,8,9,1,1
3016,UFC 288: Sterling vs. Cejudo,4,Henry Cejudo,0,24,38,0,2,0,0,46,19,33,7,20,5,6,7,7,16,30,3,3,0,0
3017,UFC 288: Sterling vs. Cejudo,5,Aljamain Sterling,0,31,47,0,1,0,0,15,24,40,13,24,5,9,6,7,19,34,5,6,0,0
3018,UFC 288: Sterling vs. Cejudo,5,Henry Cejudo,0,35,49,1,2,0,0,48,27,41,8,21,12,13,7,7,20,32,7,9,0,0
